address,annotate,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,journal,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,year,entrytype,tags,intrahash,citation,merged
 , ,Stephan Eidenbenz,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,How Many People Can Hide in a Terrain?, ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,41761fad0a77a1b1091fb37ad4693807, , 
 , ,Liang Zhao and Hiroshi Nagamochi and Toshihide Ibaraki,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,Approximating the Minimum k-way Cut in a Graph via Minimum 3-way Cuts., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,4e4322def3f376ee89979cb99dd09f6a, , 
 , ,Tetsuo Asano and Naoki Katoh and Kazuhiro Kawashima,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,A New Approximation Algorithm for the Capacitated Vehicle Routing Problem on a Tree., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,bc4ab63e3c906cce87935a9b0875fb77, , 
 , ,Kazuhisa Makino,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,A Linear Time Algorithm for Recognizing Regular Boolean Functions., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,06f9ff216a1f66aea6b73e7df7c40a58, , 
 , ,Tetsuo Shibuya,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,Constructing the Suffix Tree of a Tree with a Large Alphabet., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,1a34faa005ba2d87ef65fcca43e01cb7, , 
 , ,Therese C. Biedl and Erik D. Demaine and Sylvain Lazard and Steven M. Robbins and Michael A. Soss,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,Convexifying Monotone Polygons., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,c98767d6a13cf2c4b6b1cbd49828de7a, , 
 , ,Shuji Isobe and Xiao Zhou and Takao Nishizeki,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,A Linear Algorithm for Finding Total Colorings of Partial k-Trees., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,660f3b04dab67b3ee9c22219ee88f296, , 
 , ,Christodoulos A. Floudas and Avanish Aggarwal, , , , , , , ,INFORMS Journal on Computing, , , ,3, , , , , ,A Decomposition Strategy for Global Optimum Search in the Pooling Problem., ,2,1990,article,http://www.bibsonomy.org/api/tags/dblpdblp,6767fc3021de3980ec90edbd87d70c3d, , 
 , ,Charu C. Aggarwal and Yan Xie and Philip S. Yu, , , , , , , ,PVLDB, , , ,1, , , , , ,GConnect: A Connectivity Index for Massive Disk-resident Graphs., ,2,2009,article,http://www.bibsonomy.org/api/tags/dblpdblp,609608c4f26ceaf590c59d06cdb34d2e, , 
 , ,Jarrod A. Roy and Aaron N. Ng and Rajat Aggarwal and Venky Ramachandran and Igor L. Markov, , , , , , , ,Integration, , , ,2, , , , , ,Solving modern mixed-size placement instances., ,42,2009,article,http://www.bibsonomy.org/api/tags/dblpdblp,c39acafed0aa40f59cb4254e20cefb98, , 
 , ,Charu C. Aggarwal and Jiawei Han and Jianyong Wang and Philip S. Yu,VLDB, , , , , , , , , , , , , , , , ,A Framework for Clustering Evolving Data Streams., , ,2003,inproceedings,http://www.bibsonomy.org/api/tags/machine-learningmachine-learninghttp://www.bibsonomy.org/api/tags/toreadtoreadhttp://www.bibsonomy.org/api/tags/online-clusteringonline-clustering,0b55e2f3f396f6a2700221005061c4dc, , 
